ImageNumber,Image_Metadata_GeneID,Image_Metadata_Plate,Image_Metadata_Well,Signal
795,SRSF2,P14,C06,840
796,TCEA2,P14,C07,696
797,RXRB,P14,C08,746
798,TCEB3,P14,C09,670
799,TCEB1,P14,C10,672
800,neg,P14,C11,939
801,neg,P14,D02,706
802,SRSF2,P14,D03,927
803,TCF4,P14,D04,670
804,PLAGL1,P14,D05,705
805,neg,P14,D06,658
806,TBX3,P14,D07,886
807,TCEA3,P14,D08,554
808,TCEA1,P14,D09,578
809,POLR2I,P14,D10,888
810,TCEB2,P14,D11,902
811,Pos,P14,E02,1304
812,TCEA2,P14,E03,791
813,PRRX1,P14,E04,725
814,Ebf1,P14,E05,862
815,TCEA1,P14,E06,890
816,RXRB,P14,E07,691
817,TCEB2,P14,E08,646
818,TCF4,P14,E09,628
819,SRSF2,P14,E10,845
820,PLAGL1,P14,E11,737
821,neg,P14,F02,772
822,SCML1,P14,F03,719
823,TBX3,P14,F04,945
824,PLRG1,P14,F05,1251
825,TCEB1,P14,F06,779
826,TCEB3,P14,F07,715
827,PRRX1,P14,F08,725
828,neg,P14,F09,708
829,TCEA3,P14,F10,553
830,TCEB1,P14,F11,842
831,Pos,P14,G02,1758
832,PLAGL1,P14,G03,752
833,TCEA3,P14,G04,672
834,TCEA1,P14,G05,899
835,TCEB2,P14,G06,867
836,POLR2I,P14,G07,1297
837,Ebf1,P14,G08,898
838,PML,P14,G09,791
839,PLRG1,P14,G10,1265
840,TCEA2,P14,G11,1200
841,neg,P15,B02,819
842,SIAH2,P15,B03,528
843,SKP1,P15,B04,884
844,SMARCA1,P15,B05,574
845,SMARCC2,P15,B06,474
846,NFATC3,P15,B07,763
847,SMARCA2,P15,B08,727
848,SMARCD1,P15,B09,772
849,Ebf1,P15,B10,857
850,NFIA,P15,B11,803
851,Pos,P15,C02,1232
852,SMARCC1,P15,C03,717
853,SMARCA2,P15,C04,616
854,NFATC3,P15,C05,454
855,SMARCA4,P15,C06,553
856,SIX1,P15,C07,773
857,SIAH2,P15,C08,489
858,SMARCC1,P15,C09,615
859,TCF12,P15,C10,679
860,neg,P15,C11,674
861,neg,P15,D02,597
862,SMARCA4,P15,D03,675
863,SMARCC2,P15,D04,914
864,NACA,P15,D05,657
865,neg,P15,D06,658
866,SMARCD1,P15,D07,742
867,TCF7L2,P15,D08,742
868,TCF3,P15,D09,769
869,SMARCA1,P15,D10,455
870,HLTF,P15,D11,606
871,Pos,P15,E02,1233
872,SIX1,P15,E03,900
873,SKP1,P15,E04,832
874,Ebf1,P15,E05,735
875,TCF3,P15,E06,597
876,SIAH2,P15,E07,583
877,HLTF,P15,E08,564
878,SMARCC2,P15,E09,896
