"","ImageNumber","Image_Metadata_GeneID","Image_Metadata_Plate","Image_Metadata_Well","Signal"
"184",184,"REXO4","P04","B05",550
"185",185,"EDF1","P04","B06",634
"186",186,"UBP1","P04","B07",557
"187",187,"RBM39","P04","B08",672
"188",188,"HDAC1","P04","B09",497
"189",189,"TCEA3","P04","B10",681
"190",190,"KLF13","P04","B11",764
"191",191,"siPLIN1","P04","C02",1231
"192",192,"CBX4","P04","C03",633
"193",193,"RBM39","P04","C04",449
"194",194,"UBP1","P04","C05",631
"195",195,"TDP2","P04","C06",797
"196",196,"FOXN3","P04","C07",605
"197",197,"RFX2","P04","C08",792
"198",198,"CBX4","P04","C09",702
"199",199,"NFKBIL1","P04","C10",655
"200",200,"Neu. ctrl.","P04","C11",666
"201",201,"Neu. ctrl.","P04","D02",656
"202",202,"TDP2","P04","D03",1087
"203",203,"EDF1","P04","D04",574
"204",204,"ZHX3","P04","D05",696
"205",205,"Neu. ctrl.","P04","D06",659
"206",206,"HDAC1","P04","D07",553
"207",207,"KEAP1","P04","D08",611
"208",208,"BCL3","P04","D09",671
"209",209,"REXO4","P04","D10",477
"210",210,"CSDA","P04","D11",713
"211",211,"siPLIN1","P04","E02",1130
"212",212,"FOXN3","P04","E03",670
"213",213,"TRIM33","P04","E04",759
"214",214,"TCEA3","P04","E05",678
"215",215,"BCL3","P04","E06",784
"216",216,"RFX2","P04","E07",939
"217",217,"CSDA","P04","E08",662
"218",218,"EDF1","P04","E09",587
"219",219,"TDP2","P04","E10",724
"220",220,"ZHX3","P04","E11",715
"221",221,"Neu. ctrl.","P04","F02",630
"222",222,"RBM39","P04","F03",657
"223",223,"HDAC1","P04","F04",553
"224",224,"KLF13","P04","F05",757
"225",225,"NFKBIL1","P04","F06",737
"226",226,"CBX4","P04","F07",617
"227",227,"TRIM33","P04","F08",728
"228",228,"Neu. ctrl.","P04","F09",633
"229",229,"KEAP1","P04","F10",687
"230",230,"NFKBIL1","P04","F11",728
"231",231,"siPLIN1","P04","G02",1291
"232",232,"ZHX3","P04","G03",696
"233",233,"KEAP1","P04","G04",643
"234",234,"BCL3","P04","G05",730
"235",235,"CSDA","P04","G06",648
"236",236,"REXO4","P04","G07",539
"237",237,"TCEA3","P04","G08",602
"238",238,"UBP1","P04","G09",541
"239",239,"KLF13","P04","G10",704
"240",240,"FOXN3","P04","G11",719
"241",241,"Neu. ctrl.","P05","B02",757
"242",242,"ATN1","P05","B03",631
"243",243,"PIAS1","P05","B04",603
"244",244,"HDAC7","P05","B05",702
"245",245,"ASB8","P05","B06",707
"246",246,"NFKBIB","P05","B07",742
"247",247,"UBE2K","P05","B08",620
"248",248,"MBD2","P05","B09",629
"249",249,"STK16","P05","B10",810
"250",250,"TP53","P05","B11",776
"251",251,"siPLIN1","P05","C02",1300
"252",252,"CNOT2","P05","C03",635
"253",253,"UBE2K","P05","C04",621
"254",254,"NFKBIB","P05","C05",669
"255",255,"MEF2C","P05","C06",581
"256",256,"PTGES2","P05","C07",639
